,title,company_name,location,stipend,intern_type
7566,Social Media Marketing,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7567,Graphic Design,                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7568,Influencer Marketing,                            LBB (Little Black Book)                        ,Delhi," 3,500-5,000 /month",Internship
7569,Business Development (Sales),                            Tommy Hilfiger                        ,Chennai," 22,000 /month",Internship with job offer
7570,Non Apparel Category,                            Nykaa Fashion                        ,Mumbai," 5,000 /month",Internship
7571,Customer Relations Management,                            Decathlon                        ,Lucknow," 12,000 /month",Internship
7572,Sports Retail/Logistics,                            Decathlon Sports India                        ,Thane," 12,000 /month",Internship
7573,CA - Industrial Trainee,                            Canara HSBC Life Insurance                        ,Gurgaon," 15,000 /month",Internship
7574,Media & Public Relations (PR),                            Fashion TV India                        ,Mumbai," 10,000 /month",Internship
7575,Business Development (Sales),                            Decathlon Sports India Private Limited                        ,Mumbai," 25,000 /month",Internship
7576,Business Development (Sales),                            Decathlon                        ,Mumbai," 25,000 /month",Internship
7577,Graphic Design,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7578,Project Planning (TribeVibe),                            BookMyShow                        ,Mumbai," 7,500 /month",Internship
7579,Market Research,                            Hindustan Unilever Limited                        ,Mumbai," 20,000 /month",Internship
7580,Marketing,                            Hector Beverages Private Limited                        ,Bangalore," 5,000 /month",Internship
7581,Marketing,                            Dabur India Limited                        ,Mumbai," 2,000-3,000 /week",Internship
7582,Human Resources (HR),                            Paisabazaar                        ,Gurgaon," 20,000-25,000 /month",Internship
7583,Marketing,                            Decathlon                        ,Chennai," 10,000 /month",Internship
7584,Digital Marketing,                            NoBroker Technologies Solutions Private Limited                        ,Bangalore," 10,000 /month",Internship
7585,Content Writing,                            Acko General Insurance                        ,Bangalore," 10,000 /month",Internship
7586,Digital Marketing,                            UpGrad (UpGrad Education Private Limited)                        ,Mumbai," 25,000 /month",Internship
7587,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
7588,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
7589,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7590,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
7591,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
7592,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
7593,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
7594,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
7595,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
7596,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
7597,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
7598,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
7599,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
7600,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
7601,Fundraising,                            Childo Education Research And Development Foundation                        ,Work From Home," 1,000 lump sum +  Incentives",Internship
7602,Fundraising,                            Youth Empowerment Foundation                        ,Work From Home,Unpaid,Internship
7603,Business Development (Sales),                            Externsclub                        ,Bangalore," 15,000-18,000 /month",Internship with job offer
7604,Campus Ambassador,                            ATBC Technologies                        ,Work From Home,Performance Based,Internship
