,title,company_name,location,stipend,intern_type
307,Operations,                            Thomas Cook India Limited                        ,Mumbai," 3,000 /month",Internship
308,Human Resources (HR),                            Justdial Limited                        ,Chennai," 7,000 /month",Internship
309,Business Development (Sales),                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
310,Data Analytics,                            Taylor & Francis India                        ,Delhi," 12,000-18,000 /month",Internship
311,Content Writing,                            Times Internet                        ,Work From Home," 9,000-10,000 /month",Internship
312,Business Development (Trekking Sport),                            Decathlon Sports India                        ,Pune," 5,000 /month",Internship
313,Sports Retail Management,                            Decathlon Sports India                        ,Siliguri," 9,000 /month",Internship with job offer
314,Search Engine Optimization (SEO),                            MAYAPURI GROUP                        ,Delhi," 5,000 /month",Internship
315,Marketing,                            BYJU'S The Learning App                        ,Chennai," 10,000 /month",Internship
316,Human Resources (HR),                            American India Foundation Trust                        ,Gurgaon," 10,000 /month",Internship
317,Business Development (Sales),                            BYJU'S The Learning App                        ,Coimbatore," 10,000 /month",Internship
318,Policy Research,                            Federation of India Chambers of Commerce and Industries                        ,Chandigarh,Unpaid,Internship
319,Graphic Design,                            Dr. A.P.J. Abdul Kalam Centre                        ,Noida," 8,000-10,000 /month",Internship
320,Fundraising,                            Tare Zameen Foundation                        ,Work From Home," 1,000 /month +  Incentives",Internship
